"","sample_key","metal","site","analyst","X1","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"181",58,"As75","B","SS",229,2903.82216885829,222.74524686399,909.277614395478,147.705701647097
"182",58,"Cd111","B","SS",230,120.624425055814,319.395814624636,-2657.88796863763,-325.087960335554
"183",58,"Cd114","B","SS",233,218.623602991152,34.9072172709929,-2555.6012413719,-66.8029157045005
"184",58,"Cr52","B","SS",231,22017.5802568627,599.800167287705,20945.664696134,555.736246722417
"185",58,"Cr53","B","SS",232,22543.6852588848,605.101828952627,21519.5015479983,556.237799252886
"186",58,"Pb208","B","SS",234,191988.723397498,5016.2295272889,190797.617255667,4544.16704645265
"187",59,"As75","QC","SS",237,15345.2552918178,403.901101112455,13364.3536492584,329.780071483784
"188",59,"Cd111","QC","SS",238,2448.00413686773,159.581750405763,-311.502915618918,-148.318795748086
"189",59,"Cd114","QC","SS",239,2563.1619022891,63.9162280018659,-192.086928192862,-12.6582023975603
"190",59,"Cr52","QC","SS",235,63434.7865118881,1647.46887601789,62370.202975671,1617.35693733909
"191",59,"Cr53","QC","SS",236,64925.1654788293,1607.74628033732,63907.9873011655,1575.39180637549
"192",59,"Pb208","QC","SS",240,1043856.78451346,24774.9504381739,1042673.82567329,24662.6300007829
"193",6,"As75","C","MRMJ",243,3856.82103733082,336.981808101681,1695.14007013145,282.699100491363
"194",6,"Cd111","C","MRMJ",246,154.589285157882,347.307291172237,-2856.75350241516,-352.654490352593
"195",6,"Cd114","C","MRMJ",241,227.777208938838,53.7223650856835,-2778.91874647259,-79.1750465292782
"196",6,"Cr52","C","MRMJ",244,30441.7580025136,779.260655689546,29280.0193685545,736.954526783445
"197",6,"Cr53","C","MRMJ",242,31212.3888335178,772.576993412265,30102.3818247573,725.212751935785
"198",6,"Pb208","C","MRMJ",245,269706.81638965,6473.76033130034,268415.899387597,6046.62085219199
"199",8,"As75","E","ARG",346,2893.18831615477,203.339362070451,555.793974608934,75.7072729923027
"200",8,"Cd111","E","ARG",348,107.986294716246,511.536970364105,-3148.13507514866,-515.080491115678
"201",8,"Cd114","E","ARG",347,118.570194062218,40.7923299823377,-3132.52662344484,-71.488191708061
"202",8,"Cr52","E","ARG",344,13244.1155731507,372.70620786175,11987.9444033183,302.266018736075
"203",8,"Cr53","E","ARG",345,13523.9435171828,393.697032481971,12323.7090049113,314.659767902889
"204",8,"Pb208","E","ARG",343,117448.801454846,3398.88377905113,116052.951585327,2360.3220237049
